,zipcode,AGI_STUB,N1,A00100
172,01585,21,2100,123312
173,01588,21,4700,288078
174,01590,21,4270,409207
175,01602,21,11030,598594
176,01603,21,9150,360417
177,01604,21,17210,747862
178,01605,21,11160,461639
179,01606,21,10240,536995
180,01607,21,3970,152042
181,01608,21,1490,71664
182,01609,21,6980,527407
183,01610,21,8140,226781
184,01611,21,1100,52788
185,01612,21,2160,175209
186,01701,21,16160,1404073
187,01702,21,15620,826236
188,01718,21,330,29022
189,01719,21,2540,285815
190,01720,21,10170,1385329
191,01721,21,8380,747586
192,01730,21,6750,833873
193,01731,21,810,46447
194,01740,21,2420,334887
195,01741,21,2370,552326
196,01742,21,8560,2485669
197,01745,21,250,19699
198,01746,21,6860,707260
199,01747,21,2980,229065
200,01748,21,7040,1185620
201,01749,21,9860,663459
202,01752,21,19440,1265374
203,01754,21,5260,366583
204,01756,21,2910,285126
205,01757,21,13640,898444
206,01760,21,17130,1782048
207,01770,21,2030,737914
208,01772,21,4550,926475
209,01773,21,2810,990473
210,01775,21,3330,411585
211,01776,21,8060,1841864
212,01778,21,6620,1967560
213,01801,21,21160,1357664
214,01803,21,12780,1036146
215,01810,21,15940,2640965
216,01821,21,15920,1050797
217,01824,21,13090,1258318
218,01826,21,15710,949486
219,01827,21,1540,170891
220,01830,21,11940,626734
221,01832,21,11210,573927
222,01833,21,3980,367020
223,01834,21,3240,252630
224,01835,21,7130,435426
225,01840,21,2090,48941
226,01841,21,21150,537024
227,01843,21,11770,402573
228,01844,21,25190,1371590
229,01845,21,13890,1573194
230,01850,21,6940,260712
231,01851,21,14940,589940
232,01852,21,15690,741779
233,01854,21,10870,458310
234,01860,21,3210,221192
235,01862,21,4770,334360
236,01863,21,4670,323860
237,01864,21,7690,771844
238,01867,21,12070,1232951
239,01876,21,15440,1093774
240,01879,21,6030,464541
241,01880,21,13360,1070256
242,01886,21,10890,1252946
243,01887,21,11600,892737
244,01890,21,10150,2059201
245,01901,21,780,23847
246,01902,21,19910,697439
247,01904,21,9830,548052
248,01905,21,11670,442262
249,01906,21,14350,849793
250,01907,21,7090,935066
251,01908,21,1880,209232
252,01913,21,8340,564087
253,01915,21,19290,1563213
254,01921,21,3790,711010
255,01922,21,1640,157804
256,01923,21,14260,1051265
257,01929,21,1760,183087
258,01930,21,14870,1030007
259,01938,21,6990,661520
260,01940,21,6220,802098
261,01944,21,2640,657894
262,01945,21,10270,1601138
263,01949,21,4090,417944
264,01950,21,9230,977874
265,01951,21,1880,207975
266,01952,21,4230,233825
267,01960,21,26990,1606267
268,01966,21,3840,329494
269,01969,21,3050,246283
270,01970,21,21230,1164509
271,01982,21,3500,498947
272,01983,21,3040,446001
273,01984,21,1820,364334
274,01985,21,2090,263231
275,02019,21,8420,551136
276,02021,21,11070,1209246
277,02025,21,3760,862168
278,02026,21,12600,1198255
279,02030,21,2660,1289587
280,02032,21,2230,207216
281,02035,21,8870,788759
282,02038,21,15060,1399405
283,02043,21,10790,2206521
284,02045,21,5620,404659
285,02048,21,11460,1004599
286,02050,21,11520,962277
287,02052,21,5790,1034959
288,02053,21,6380,578331
289,02054,21,4110,316703
290,02056,21,4570,527111
291,02061,21,5070,813399
292,02062,21,15160,1121092
293,02066,21,8620,962606
294,02067,21,8440,1100917
295,02071,21,490,41847
296,02072,21,14250,850917
297,02081,21,9500,911712
298,02090,21,7060,1535284
299,02093,21,5360,560615
300,02108,21,2850,1450562
301,02109,21,2780,743752
302,02110,21,2200,887372
303,02111,21,2980,678280
304,02113,21,4370,311960
305,02114,21,6610,1087382
306,02115,21,7320,819960
307,02116,21,10630,4236716
308,02118,21,12430,1570430
309,02119,21,12200,399589
310,02120,21,4910,158662
311,02121,21,11380,327293
312,02122,21,11440,466618
313,02124,21,23430,913940
314,02125,21,16010,638590
315,02126,21,11470,406446
316,02127,21,19460,1385923
317,02128,21,19270,704467
318,02129,21,9630,1039541
319,02130,21,19870,1364932
320,02131,21,15910,832479
321,02132,21,14100,1095620
322,02134,21,9700,390269
323,02135,21,21840,1083443
324,02136,21,15080,688000
325,02138,21,14320,2633364
326,02139,21,18610,1434956
327,02140,21,9570,853598
328,02141,21,6270,440023
329,02142,21,1390,263074
330,02143,21,14530,813931
331,02144,21,14220,951135
332,02145,21,13490,607813
333,02148,21,29570,1362725
334,02149,21,20430,801977
335,02150,21,16210,564636
336,02151,21,25470,1101157
337,02152,21,8970,568410
338,02155,21,29710,1859013
339,02163,21,480,44487
340,02169,21,28930,1656205
341,02170,21,10340,539938
342,02171,21,10050,641299
343,02176,21,14000,1181259
344,02180,21,11720,848776
345,02184,21,18450,1409583
346,02186,21,12970,2131457
347,02188,21,7560,450916
348,02189,21,7540,425751
349,02190,21,8890,583678
350,02191,21,4500,278411
351,02199,21,970,401374
352,02210,21,1320,264481
353,02215,21,5760,402418
354,02301,21,28290,1129768
355,02302,21,15640,644619
356,02322,21,2290,131740
357,02324,21,11120,768405
358,02330,21,5270,312567
359,02332,21,6330,1069198
360,02333,21,6880,426687
361,02338,21,3940,235477
362,02339,21,6840,696515
363,02341,21,4900,325339
364,02343,21,5590,308916
365,02346,21,11420,654307
366,02347,21,5330,399354
367,02351,21,8400,527616
368,02356,21,5820,630425
369,02359,21,8590,654362
370,02360,21,26680,1856631
371,02364,21,6250,480789
372,02367,21,1430,101506
373,02368,21,16820,867320
374,02370,21,9100,483779
375,02375,21,4990,394750
376,02379,21,3570,232028
377,02382,21,7300,416115
378,02420,21,6950,1633140
379,02421,21,8020,1921715
380,02445,21,9830,2272520
381,02446,21,13980,1754094
382,02451,21,9160,693139
383,02452,21,6250,486467
384,02453,21,14100,800446
385,02458,21,6250,1222981
386,02459,21,8810,2091560
387,02460,21,4730,601014
388,02461,21,3490,564932
389,02462,21,690,111323
390,02464,21,1540,149134
391,02465,21,5800,1544710
392,02466,21,3410,435539
393,02467,21,7610,2406257
394,02468,21,2610,778928
395,02472,21,17990,1295770
396,02474,21,14050,1243583
397,02476,21,8640,916265
398,02478,21,12230,2109586
399,02481,21,6700,3459153
400,02482,21,4820,1419804
401,02492,21,9350,2218338
402,02493,21,5010,3640392
403,02494,21,4740,701711
404,02532,21,5520,335515
405,02535,21,620,63149
406,02536,21,10150,634972
407,02537,21,3100,249234
408,02538,21,2330,99737
409,02539,21,2790,215717
410,02540,21,3790,310875
411,02542,21,250,9752
412,02543,21,530,46188
413,02554,21,5360,444145
414,02556,21,1930,169278
415,02559,21,1810,116668
416,02562,21,1700,121085
417,02563,21,5470,393313
418,02568,21,3870,249240
419,02571,21,5070,270352
420,02576,21,2140,113292
421,02601,21,7390,293133
422,02630,21,1140,118184
423,02631,21,5160,347245
424,02632,21,5670,376378
425,02633,21,2100,217542
426,02635,21,1900,183689
427,02638,21,1680,125916
428,02639,21,1700,69791
429,02642,21,2120,137584
430,02644,21,2210,130970
431,02645,21,5140,307592
432,02646,21,1120,82687
433,02648,21,3990,254962
434,02649,21,7630,502165
435,02650,21,550,50965
436,02653,21,2930,194684
437,02655,21,2000,312672
438,02657,21,2630,133449
439,02659,21,610,36279
440,02660,21,3260,172861
441,02664,21,5130,259790
442,02667,21,1520,86793
443,02668,21,1800,138209
444,02670,21,880,48891
445,02671,21,660,42121
446,02673,21,4600,207192
447,02675,21,3650,245937
448,02702,21,2100,148521
449,02703,21,21280,1228579
450,02715,21,1520,99984
451,02717,21,2410,150978
452,02718,21,3380,187354
453,02719,21,7920,442686
454,02720,21,13800,606853
455,02721,21,10680,367462
456,02723,21,6180,204217
457,02724,21,7160,241757
458,02725,21,1270,66430
459,02726,21,7860,529579
460,02738,21,2510,271511
461,02739,21,3340,350747
462,02740,21,18180,681410
463,02743,21,5190,293613
464,02744,21,4930,160376
465,02745,21,11810,519495
466,02746,21,5620,161725
467,02747,21,8960,586915
468,02748,21,5720,503195
469,02760,21,13360,1054146
470,02762,21,4480,328202
471,02763,21,1010,85983
472,02764,21,2020,128224
473,02766,21,8790,642473
474,02767,21,6770,469110
475,02769,21,5900,468192
476,02770,21,2620,210304
477,02771,21,7190,512753
478,02777,21,8130,511345
479,02779,21,3110,212851
480,02780,21,23580,1126124
481,02790,21,8080,575114
482,03901,21,3610,176885
483,03902,21,1160,90576
484,03903,21,3290,217302
485,03904,21,4100,225080
486,03905,21,1030,78998
487,03906,21,2340,124529
488,03907,21,900,69038
489,03908,21,3580,217515
490,03909,21,4850,372937
491,04001,21,1100,59121
492,04002,21,3430,170709
493,04003,21,170,10361
494,04005,21,10620,468118
495,04008,21,1480,78220
496,04009,21,2110,94492
497,04010,21,680,26638
498,04011,21,9690,618767
499,04015,21,1520,76308
500,04017,21,200,12254
501,04020,21,680,30385
502,04021,21,3060,306906
503,04022,21,530,27706
504,04024,21,300,12035
505,04027,21,2660,122218
506,04029,21,850,39848
507,04030,21,980,47574
508,04032,21,3860,299101
509,04037,21,1740,72481
510,04038,21,7780,475205
511,04039,21,3980,211382
512,04040,21,1330,62867
513,04041,21,610,22128
514,04042,21,2110,106343
515,04043,21,5690,391398
516,04046,21,3860,253925
517,04047,21,900,35386
518,04048,21,1280,57265
519,04049,21,1650,73735
520,04050,21,110,5911
521,04051,21,480,23287
522,04055,21,1870,80628
523,04061,21,1460,67215
524,04062,21,8390,502725
525,04064,21,4670,220727
526,04066,21,310,21227
527,04068,21,520,21144
528,04069,21,750,49877
529,04071,21,2470,147851
530,04072,21,9690,522186
531,04073,21,7530,313390
532,04074,21,9310,730947
533,04076,21,1220,57740
534,04079,21,1940,144129
535,04083,21,2290,99447
536,04084,21,3640,196581
537,04085,21,910,44113
538,04086,21,4710,274489
539,04087,21,1110,50146
540,04088,21,640,29511
541,04090,21,4980,279556
542,04091,21,420,18738
543,04092,21,8840,393256
544,04093,21,3840,192550
545,04095,21,550,21747
546,04096,21,4310,471373
547,04097,21,1810,182975
548,04101,21,8470,391668
549,04102,21,8820,507855
550,04103,21,15730,822534
551,04105,21,5850,797201
552,04106,21,13200,684973
553,04107,21,4580,589874
554,04108,21,490,31641
555,04110,21,730,168175
556,04210,21,10000,482044
557,04216,21,300,11302
558,04217,21,1520,71434
559,04219,21,610,24382
560,04220,21,1390,55413
561,04221,21,370,14393
562,04222,21,1860,107320
563,04224,21,1210,48839
564,04231,21,110,4148
565,04236,21,2030,99684
566,04237,21,140,5637
567,04238,21,600,29059
568,04239,21,2030,84853
569,04240,21,14030,568825
570,04250,21,1970,80585
571,04252,21,2250,95830
572,04253,21,1000,42653
573,04254,21,1170,38062
574,04255,21,360,15379
575,04256,21,1340,52787
576,04257,21,1040,35726
577,04258,21,1280,72402
578,04259,21,1490,74413
579,04260,21,2590,149978
580,04261,21,250,11994
581,04263,21,980,42912
582,04265,21,440,19788
583,04268,21,2100,106661
584,04270,21,2580,103786
585,04274,21,2480,128411
586,04275,21,240,9321
587,04276,21,2430,91606
588,04280,21,3170,137356
589,04281,21,2120,82984
590,04282,21,2550,134996
591,04284,21,580,32534
592,04285,21,200,8188
593,04287,21,1420,69467
594,04289,21,780,29375
595,04290,21,700,29868
596,04292,21,370,14116
597,04294,21,1560,68760
598,04330,21,11720,509406
599,04342,21,800,37598
600,04344,21,1410,60570
601,04345,21,5450,244888
602,04346,21,800,30086
603,04347,21,1320,71747
604,04348,21,1320,60589
605,04349,21,610,32303
606,04350,21,1610,77386
607,04351,21,1350,104476
608,04352,21,760,37859
609,04353,21,1010,44818
610,04354,21,670,29209
611,04355,21,1210,67035
612,04357,21,1520,67282
613,04358,21,1870,89207
614,04360,21,240,10531
615,04363,21,1170,48598
616,04364,21,2810,158958
617,04401,21,19450,996219
618,04406,21,300,11286
619,04410,21,490,18097
620,04411,21,710,30367
621,04412,21,4740,259543
622,04414,21,500,18953
623,04416,21,2510,105305
624,04417,21,150,4916
625,04418,21,710,26206
626,04419,21,1330,59671
627,04421,21,360,27752
628,04422,21,470,18376
629,04424,21,300,9375
630,04426,21,1950,88860
631,04427,21,1280,53624
632,04428,21,1420,66981
633,04429,21,2440,149752
634,04430,21,700,26508
635,04434,21,510,19900
636,04435,21,450,17628
637,04438,21,510,17531
638,04441,21,770,33074
639,04443,21,980,39656
640,04444,21,4280,305307
641,04448,21,550,19756
642,04449,21,640,26413
643,04450,21,580,23336
644,04453,21,280,9850
645,04455,21,380,16639
646,04456,21,1300,58157
647,04457,21,2430,111285
648,04459,21,300,8718
649,04460,21,570,21524
650,04461,21,1440,60501
651,04462,21,1990,78779
652,04463,21,1140,38616
653,04464,21,260,8770
654,04468,21,3880,159552
655,04471,21,210,7303
656,04472,21,950,38703
657,04473,21,2520,135167
658,04474,21,1810,95627
659,04475,21,160,5653
660,04476,21,550,25174
661,04478,21,140,5308
662,04479,21,510,17866
663,04481,21,240,9546
664,04487,21,340,10772
665,04488,21,520,21730
666,04493,21,770,35969
667,04495,21,160,6741
668,04496,21,1770,93119
669,04497,21,150,4727
670,04530,21,5410,270366
671,04535,21,350,17675
672,04537,21,1110,52661
673,04538,21,1070,46930
674,04539,21,540,28473
675,04543,21,1250,65093
676,04544,21,400,33083
677,04547,21,530,20607
678,04548,21,540,37165
679,04551,21,340,20199
680,04553,21,990,58871
681,04554,21,380,20808
682,04555,21,880,46405
683,04556,21,600,30840
684,04558,21,160,7021
685,04562,21,1050,59682
686,04563,21,670,34374
687,04564,21,250,15375
688,04568,21,180,12853
689,04571,21,140,7307
690,04572,21,2320,96232
691,04573,21,240,14554
692,04574,21,660,26617
693,04576,21,290,20408
694,04578,21,2170,100769
695,04579,21,1560,100714
696,04605,21,6490,308866
697,04606,21,510,18137
698,04607,21,530,21305
699,04609,21,2490,151284
700,04612,21,250,11943
701,04613,21,90,3943
702,04614,21,1370,83019
703,04616,21,410,21712
704,04617,21,400,24879
705,04619,21,1540,65308
706,04622,21,560,18005
707,04623,21,410,14658
708,04626,21,170,7179
709,04627,21,760,38679
710,04628,21,260,9896
711,04630,21,640,26189
712,04631,21,560,23430
713,04634,21,860,31334
714,04640,21,1100,46272
715,04643,21,420,14094
716,04648,21,270,10956
717,04649,21,560,21383
718,04650,21,130,6142
719,04652,21,750,25058
720,04653,21,330,14227
721,04654,21,1360,56291
722,04655,21,390,12787
723,04657,21,160,6691
724,04658,21,660,23728
725,04660,21,770,57090
726,04664,21,560,19492
727,04666,21,540,18717
728,04667,21,570,20482
729,04668,21,660,23147
730,04669,21,150,6736
731,04671,21,230,10396
732,04674,21,190,7691
733,04676,21,460,22118
734,04677,21,140,7066
735,04679,21,1030,56047
736,04680,21,490,16751
737,04681,21,590,30784
738,04684,21,740,41652
739,04685,21,170,8124
740,04691,21,160,7009
741,04693,21,260,11421
742,04694,21,1040,43277
743,04730,21,4180,169536
744,04732,21,730,26946
745,04734,21,290,10740
746,04735,21,250,8060
747,04736,21,4250,185010
748,04739,21,420,16476
749,04740,21,570,23060
750,04742,21,1500,58946
751,04743,21,1960,91824
752,04745,21,470,17854
753,04746,21,170,5724
754,04747,21,490,17953
755,04750,21,870,29330
756,04756,21,1560,60481
757,04757,21,1250,62620
758,04758,21,690,31760
759,04760,21,340,11925
760,04761,21,240,10950
761,04762,21,250,10177
762,04763,21,320,10622
763,04765,21,480,16873
764,04766,21,150,5968
765,04768,21,160,6702
766,04769,21,4430,195056
767,04772,21,360,16065
768,04773,21,360,13880
769,04774,21,280,8603
770,04776,21,380,12046
771,04777,21,150,4446
772,04779,21,160,6972
773,04780,21,280,10278
774,04781,21,250,9540
775,04783,21,200,8472
776,04785,21,960,33140
777,04786,21,750,28855
778,04787,21,180,6955
779,04841,21,3500,140819
780,04843,21,2570,199929
781,04847,21,710,37822
782,04848,21,310,14625
783,04849,21,1740,100801
784,04853,21,220,11229
785,04854,21,730,39738
786,04856,21,1740,132309
787,04858,21,700,32966
788,04859,21,400,21575
789,04860,21,810,42183
790,04861,21,1390,60076
791,04862,21,1750,82768
792,04863,21,630,24500
793,04864,21,1910,76817
794,04901,21,10620,479791
795,04910,21,950,41218
796,04911,21,820,28767
797,04912,21,360,12664
798,04915,21,4140,186929
799,04917,21,1400,90139
800,04918,21,210,15902
801,04920,21,670,21666
802,04921,21,700,25445
803,04922,21,480,16322
804,04923,21,160,5835
805,04924,21,890,35102
806,04927,21,1440,58092
807,04928,21,880,35959
808,04929,21,340,11561
809,04930,21,1700,60430
810,04932,21,580,26233
811,04936,21,110,10354
812,04937,21,2870,123426
813,04938,21,3350,149323
814,04939,21,420,15667
815,04941,21,730,26575
816,04942,21,420,13528
817,04943,21,740,28615
818,04945,21,540,26893
819,04947,21,890,49373
820,04949,21,440,16423
821,04950,21,1720,78203
822,04951,21,390,15248
823,04952,21,820,33912
824,04953,21,1420,61119
825,04955,21,640,26506
826,04956,21,330,13112
827,04957,21,1780,78254
828,04958,21,760,28618
829,04961,21,410,14030
830,04963,21,3380,185907
831,04965,21,810,29342
832,04966,21,680,24618
833,04967,21,1700,76689
834,04969,21,540,20838
835,04970,21,770,36827
836,04971,21,810,31782
837,04973,21,640,26139
838,04974,21,1240,48814
839,04976,21,4270,197739
840,04978,21,440,21573
841,04979,21,460,14944
842,04981,21,1020,45870
843,04982,21,310,10060
844,04983,21,680,27952
845,04984,21,250,10061
846,04986,21,650,23518
847,04987,21,410,14716
848,04988,21,730,27793
849,04989,21,1970,91677
850,06001,21,9160,1606067
851,06002,21,11410,832278
852,06010,21,29910,1611858
853,06013,21,4550,450188
854,06016,21,3270,208768
855,06018,21,1440,64076
856,06019,21,4780,496199
857,06021,21,310,26483
858,06023,21,740,57010
859,06024,21,280,12464
860,06026,21,2720,223865
861,06027,21,750,52776
862,06029,21,7880,642480
863,06031,21,620,50809
864,06032,21,9310,1255086
865,06033,21,14240,1669159
866,06035,21,3800,324664
867,06037,21,10010,760883
868,06039,21,1140,125160
869,06040,21,17660,988278
870,06042,21,12160,679748
871,06043,21,2640,224058
872,06051,21,12670,375745
873,06052,21,3830,213470
874,06053,21,15200,611942
875,06057,21,3370,284236
876,06058,21,860,64396
877,06060,21,1200,152218
878,06062,21,9370,508749
879,06063,21,1670,121337
880,06065,21,410,24994
881,06066,21,15240,880366
882,06067,21,10570,799016
883,06068,21,760,79282
884,06069,21,1160,154754
885,06070,21,7420,968071
886,06071,21,4640,417171
887,06073,21,2750,495926
888,06074,21,13200,1124682
889,06076,21,6120,347417
890,06078,21,5010,524332
891,06081,21,730,41406
892,06082,21,20970,1167211
893,06084,21,7080,662998
894,06085,21,3510,315792
895,06088,21,2700,143121
896,06089,21,1410,175651
897,06090,21,570,75730
898,06092,21,2030,351356
899,06093,21,1750,140176
900,06095,21,15510,996747
901,06096,21,6860,368639
902,06098,21,5550,275951
903,06103,21,1020,108965
904,06105,21,8500,404269
905,06106,21,15120,446850
906,06107,21,9360,1285335
907,06108,21,11520,442588
908,06109,21,14120,1036512
909,06110,21,6460,335111
910,06111,21,16190,1009016
911,06112,21,9500,262704
912,06114,21,11510,336201
913,06117,21,7060,1124189
914,06118,21,13840,639929
915,06119,21,7550,654608
916,06120,21,4240,95535
917,06226,21,6890,232336
918,06231,21,1770,157760
919,06232,21,1690,122266
920,06234,21,3690,221122
921,06235,21,1090,59838
922,06237,21,2770,206959
923,06238,21,6130,431202
924,06239,21,5030,236726
925,06241,21,2950,148616
926,06242,21,710,48078
927,06243,21,160,7029
928,06247,21,1200,81438
929,06248,21,2820,261075
930,06249,21,3490,227266
931,06250,21,2420,172821
932,06254,21,1000,66251
933,06255,21,2090,105161
934,06256,21,1150,55212
935,06259,21,1780,141563
936,06260,21,4390,207515
937,06262,21,360,17349
938,06264,21,340,18852
939,06266,21,290,15003
940,06268,21,3270,263328
941,06277,21,2020,120071
942,06278,21,2200,141563
943,06279,21,2770,189687
944,06280,21,1560,87570
945,06281,21,3200,245954
946,06282,21,530,36889
947,06320,21,12570,475321
948,06330,21,1370,72558
949,06331,21,2500,145682
950,06333,21,3340,344032
951,06334,21,1270,80362
952,06335,21,3330,243877
953,06339,21,4210,273720
954,06340,21,13890,737616
955,06351,21,7810,420948
956,06353,21,230,9934
957,06354,21,2560,121157
958,06355,21,6790,580133
959,06357,21,5810,416372
960,06359,21,2650,193902
961,06360,21,17810,789952
962,06365,21,2320,151425
963,06370,21,3620,237800
964,06371,21,4980,707932
965,06374,21,3700,179586
966,06375,21,1960,123869
967,06377,21,1230,68181
968,06378,21,2900,329480
969,06379,21,4400,288749
970,06380,21,1280,41792
971,06382,21,5310,262544
972,06384,21,1330,76164
973,06385,21,8480,627661
974,06401,21,9080,417437
975,06403,21,2970,189396
976,06405,21,15390,1211796
977,06409,21,340,21418
978,06410,21,13280,1421231
979,06412,21,1990,172448
980,06413,21,6860,484920
981,06415,21,8100,579450
982,06416,21,7540,598510
983,06417,21,2390,173869
984,06418,21,6140,309262
985,06419,21,3150,309927
986,06420,21,2080,178517
987,06422,21,3650,374059
988,06423,21,2510,207887
989,06424,21,6260,485269
990,06426,21,1770,305747
991,06437,21,11030,1399307
992,06438,21,1310,115076
993,06441,21,2830,233733
994,06442,21,1390,111669
995,06443,21,9000,1206036
996,06447,21,3060,288608
997,06450,21,17620,873585
998,06451,21,11400,522461
999,06455,21,1690,134238
1000,06457,21,22390,1330910
1001,06460,21,20180,1458425
1002,06461,21,7470,584001
1003,06468,21,9410,956646
1004,06469,21,1550,102669
1005,06470,21,7480,927194
1006,06471,21,4090,283851
1007,06472,21,3380,251798
1008,06473,21,12460,1022777
1009,06475,21,5520,522174
1010,06477,21,6910,764334
1011,06478,21,6140,525921
1012,06479,21,4870,344258
1013,06480,21,4750,365426
1014,06481,21,590,37308
1015,06482,21,5080,635975
1016,06483,21,8270,512970
1017,06484,21,20480,1570961
1018,06488,21,9950,903793
1019,06489,21,16290,1222293
1020,06492,21,23270,1604514
1021,06498,21,3580,274506
1022,06510,21,1460,133521
1023,06511,21,20270,1043931
1024,06512,21,14750,766758
1025,06513,21,16250,588752
1026,06514,21,12860,685578
1027,06515,21,6950,398193
1028,06516,21,26070,1210315
1029,06517,21,7630,591974
1030,06518,21,7500,564457
1031,06519,21,6090,167900
1032,06524,21,2750,298814
1033,06525,21,4510,811547
1034,06604,21,11320,389995
1035,06605,21,9810,363238
1036,06606,21,21770,847019
1037,06607,21,3310,85889
1038,06608,21,5370,129516
1039,06610,21,10530,363000
1040,06611,21,17130,1747091
1041,06612,21,3460,684191
1042,06614,21,16850,1096665
1043,06615,21,9340,502345
1044,06702,21,940,17653
1045,06704,21,10890,357952
1046,06705,21,12420,458568
1047,06706,21,6100,217670
1048,06708,21,13730,618784
1049,06710,21,3990,128022
1050,06712,21,4790,339229
1051,06716,21,8310,527940
1052,06750,21,690,37547
1053,06751,21,1860,136164
1054,06752,21,870,115019
1055,06754,21,780,68838
1056,06755,21,560,40941
1057,06756,21,1460,132768
1058,06757,21,1120,103996
1059,06759,21,2930,335755
1060,06762,21,3710,413744
1061,06763,21,1070,80353
1062,06770,21,15480,803482
1063,06776,21,13200,944736
1064,06777,21,890,102129
1065,06778,21,620,40770
1066,06779,21,4030,204780
1067,06782,21,1220,73662
1068,06783,21,1110,161139
1069,06784,21,1830,203733
1070,06785,21,320,36342
1071,06786,21,4820,260640
1072,06787,21,3940,230745
1073,06790,21,17440,847919
1074,06791,21,2750,217855
1075,06793,21,550,104358
1076,06794,21,630,106306
1077,06795,21,7150,532429
1078,06796,21,430,36395
1079,06798,21,5040,486763
1080,06801,21,9260,676102
1081,06804,21,8460,812807
