,Source Zipcode,NAICS Code Description,Counts
547,94132,Wholesale Trade,35
548,94133,Accommodations,188
549,94133,Administrative and Support Services,76
550,94133,"Arts, Entertainment, and Recreation",208
551,94133,Certain Services,117
552,94133,Construction,90
553,94133,Financial Services,84
554,94133,Food Services,481
555,94133,Information,74
556,94133,Insurance,17
557,94133,Manufacturing,18
558,94133,Multiple,88
559,94133,Private Education and Health Services,90
560,94133,"Professional, Scientific, and Technical Services",503
561,94133,Real Estate and Rental and Leasing Services,1184
562,94133,Retail Trade,527
563,94133,Transportation and Warehousing,47
564,94133,Utilities,3
565,94133,Wholesale Trade,91
566,94134,Accommodations,69
567,94134,Administrative and Support Services,38
568,94134,"Arts, Entertainment, and Recreation",82
569,94134,Certain Services,56
570,94134,Construction,253
571,94134,Financial Services,11
572,94134,Food Services,109
573,94134,Information,12
574,94134,Insurance,15
575,94134,Manufacturing,19
576,94134,Multiple,45
577,94134,Private Education and Health Services,40
578,94134,"Professional, Scientific, and Technical Services",116
579,94134,Real Estate and Rental and Leasing Services,127
580,94134,Retail Trade,139
581,94134,Transportation and Warehousing,172
582,94134,Utilities,2
583,94134,Wholesale Trade,44
584,94137,Certain Services,2
585,94137,"Professional, Scientific, and Technical Services",1
586,94140,"Professional, Scientific, and Technical Services",1
587,94141,"Arts, Entertainment, and Recreation",3
588,94141,Construction,4
589,94141,Multiple,1
590,94141,Real Estate and Rental and Leasing Services,3
591,94141,Retail Trade,1
592,94142,"Arts, Entertainment, and Recreation",1
593,94142,Multiple,2
594,94142,"Professional, Scientific, and Technical Services",2
595,94142,Transportation and Warehousing,2
596,94143,Accommodations,1
597,94143,"Arts, Entertainment, and Recreation",2
598,94143,Construction,1
599,94143,Food Services,2
600,94143,Multiple,1
601,94143,"Professional, Scientific, and Technical Services",3
602,94143,Real Estate and Rental and Leasing Services,44
603,94143,Retail Trade,3
604,94145,"Professional, Scientific, and Technical Services",1
605,94145,Real Estate and Rental and Leasing Services,1
606,94146,Accommodations,1
607,94146,Construction,1
608,94146,Retail Trade,1
609,94147,Certain Services,1
610,94147,Construction,1
611,94147,Information,1
612,94147,"Professional, Scientific, and Technical Services",3
613,94147,Real Estate and Rental and Leasing Services,4
614,94147,Retail Trade,1
615,94153,Food Services,1
616,94155,Private Education and Health Services,1
617,94158,Accommodations,18
618,94158,Administrative and Support Services,11
619,94158,"Arts, Entertainment, and Recreation",12
620,94158,Certain Services,4
621,94158,Construction,10
622,94158,Financial Services,17
623,94158,Food Services,55
624,94158,Information,10
625,94158,Manufacturing,6
626,94158,Multiple,11
627,94158,Private Education and Health Services,10
628,94158,"Professional, Scientific, and Technical Services",61
629,94158,Real Estate and Rental and Leasing Services,189
630,94158,Retail Trade,27
631,94158,Transportation and Warehousing,12
632,94158,Wholesale Trade,3
633,94159,Private Education and Health Services,1
634,94159,"Professional, Scientific, and Technical Services",3
635,94159,Real Estate and Rental and Leasing Services,6
636,94164,Private Education and Health Services,1
637,94164,"Professional, Scientific, and Technical Services",1
638,94164,Retail Trade,1
639,94165,Food Services,1
640,94170,Real Estate and Rental and Leasing Services,1
641,94177,Accommodations,1
642,94177,Food Services,1
643,94177,Private Education and Health Services,1
644,94177,Real Estate and Rental and Leasing Services,2
645,94188,Administrative and Support Services,2
646,94188,"Arts, Entertainment, and Recreation",1
647,94188,Financial Services,1
648,94188,Food Services,13
649,94188,Multiple,1
650,94188,Private Education and Health Services,3
651,94188,Transportation and Warehousing,1
652,94188,Wholesale Trade,1
653,94194,Food Services,1
654,94198,"Professional, Scientific, and Technical Services",1
655,94213,Accommodations,1
656,94301,"Arts, Entertainment, and Recreation",1
657,94301,Financial Services,1
658,94301,Food Services,1
659,94301,Manufacturing,1
660,94301,Multiple,1
661,94301,Retail Trade,1
662,94306,"Professional, Scientific, and Technical Services",1
663,94310,"Arts, Entertainment, and Recreation",1
664,94312,"Professional, Scientific, and Technical Services",1
665,94401,Real Estate and Rental and Leasing Services,1
666,94404,Retail Trade,1
667,94418,Real Estate and Rental and Leasing Services,1
668,94501,Private Education and Health Services,1
669,94503,Multiple,1
670,94506,Multiple,1
671,94507,Real Estate and Rental and Leasing Services,1
672,94511,Food Services,1
673,94518,Construction,2
674,94536,Multiple,1
675,94546,Retail Trade,1
676,94549,Real Estate and Rental and Leasing Services,1
677,94556,Retail Trade,1
678,94564,"Arts, Entertainment, and Recreation",1
679,94565,Private Education and Health Services,1
680,94587,Food Services,1
681,94596,"Professional, Scientific, and Technical Services",1
682,94607,"Professional, Scientific, and Technical Services",1
683,94608,Financial Services,1
684,94608,"Professional, Scientific, and Technical Services",1
685,94609,Private Education and Health Services,1
686,94610,"Arts, Entertainment, and Recreation",1
687,94610,Food Services,1
688,94610,"Professional, Scientific, and Technical Services",1
689,94611,Food Services,1
690,94611,"Professional, Scientific, and Technical Services",2
691,94618,"Professional, Scientific, and Technical Services",1
692,94619,Food Services,1
693,94704,Food Services,1
694,94704,Private Education and Health Services,1
695,94709,Private Education and Health Services,1
696,94896,Transportation and Warehousing,1
697,94901,Administrative and Support Services,1
698,94901,Construction,1
699,94901,Real Estate and Rental and Leasing Services,1
700,94904,Food Services,1
701,94914,Real Estate and Rental and Leasing Services,1
702,94920,"Professional, Scientific, and Technical Services",1
703,94920,Real Estate and Rental and Leasing Services,1
704,94941,Multiple,1
705,94947,Construction,1
706,94952,Accommodations,1
707,94960,Construction,1
708,94965,Food Services,1
709,94965,Real Estate and Rental and Leasing Services,1
710,94966,"Arts, Entertainment, and Recreation",1
711,94978,Real Estate and Rental and Leasing Services,1
712,95003,"Arts, Entertainment, and Recreation",1
713,95103,Accommodations,1
714,95103,Food Services,1
715,95107,"Professional, Scientific, and Technical Services",1
716,95108,"Professional, Scientific, and Technical Services",1
717,95120,Accommodations,1
718,95124,Construction,1
719,95134,Transportation and Warehousing,1
720,95158,Food Services,1
721,95376,Retail Trade,1
722,95403,Retail Trade,1
723,95608,Real Estate and Rental and Leasing Services,1
724,95650,Construction,1
725,95662,Construction,1
726,95819,Real Estate and Rental and Leasing Services,1
727,95833,Manufacturing,1
728,96140,Food Services,1
729,96150,Transportation and Warehousing,1
730,96753,Retail Trade,1
731,96815,Multiple,1
732,98104,"Professional, Scientific, and Technical Services",1
733,98108,Certain Services,1
734,99999,Certain Services,1
